Insuffisance rénale,"fatigue;gonflement;sang dans les urines","Suivez un régime adapté; consultez un néphrologue","High"
Syndrome des jambes sans repos,"picotements dans les jambes;besoin de bouger","Évitez la caféine; consultez un médecin","Low"
Rhinite allergique,"éternuements;nez qui coule;démangeaisons nasales","Prenez des antihistaminiques; évitez les allergènes","Low"
Hypercholestérolémie,"aucun symptôme;dépôt de cholestérol sous la peau","Suivez un régime pauvre en graisses","Moderate"
Hernie hiatale,"reflux acide;douleurs thoraciques","Évitez les repas copieux; consultez un médecin","Moderate"
Syndrome métabolique,"obésité;hypertension;glycémie élevée","Adoptez un mode de vie sain; faites de l'exercice","Moderate"
Polyarthrite rhumatoïde,"douleurs articulaires;raideur;gonflement","Prenez des anti-inflammatoires; consultez un rhumatologue","Moderate"
Acné sévère,"boutons;rougeurs;douleurs cutanées","Utilisez des crèmes spécifiques; consultez un dermatologue","Low"
Anorexie mentale,"perte de poids;peur de prendre du poids;faiblesse","Consultez un psychiatre; suivez un traitement","High"
Boulimie,"compulsions alimentaires;vomissements auto-induits","Consultez un spécialiste; adoptez une thérapie","High"
Pédiculose,"démangeaisons du cuir chevelu;présence de poux","Utilisez un shampoing anti-poux","Low"
Scarlatine,"fièvre;éruption cutanée;mal de gorge","Prenez des antibiotiques; consultez un médecin","Moderate"
Endométriose,"douleurs pelviennes;saignements abondants","Consultez un gynécologue; suivez un traitement adapté","Moderate"
Prostatite,"douleurs pelviennes;difficulté à uriner","Buvez beaucoup d'eau; consultez un urologue","Moderate"
Neuropathie diabétique,"engourdissement;douleurs dans les pieds","Contrôlez votre glycémie; consultez un neurologue","Moderate"
Insuffisance veineuse,"douleurs dans les jambes;gonflement;varices","Portez des bas de compression; marchez régulièrement","Low"
Erysipèle,"rougeur cutanée;fièvre;douleur","Prenez des antibiotiques; reposez-vous","Moderate"
Gale,"démangeaisons intenses;petites bosses sur la peau","Utilisez un traitement antiparasitaire; lavez les vêtements","Moderate"
Pseudomonas,"infections des plaies;fièvre","Prenez des antibiotiques; consultez un médecin","High"
Botulisme,"paralysie progressive;difficulté à parler","Consultez immédiatement un médecin","Critical"
Syphilis,"plaies génitales;éruption cutanée","Prenez des antibiotiques; consultez un médecin","Moderate"
Lithiase urinaire,"douleurs lors de la miction;sang dans les urines","Buvez de l'eau; consultez un urologue","Moderate"
Trichomonase,"démangeaisons génitales;écoulement inhabituel","Prenez un traitement antiparasitaire; consultez un médecin","Low"
Encéphalite,"maux de tête;confusion;convulsions","Consultez un neurologue; suivez un traitement antiviral","High"
Myasthénie,"faiblesse musculaire;troubles de la vision","Consultez un neurologue; suivez un traitement","Moderate"
Hyperparathyroïdie,"fragilité osseuse;calculs rénaux;fatigue","Consultez un endocrinologue","Moderate"
Hypoparathyroïdie,"spasmes musculaires;engourdissements","Prenez des suppléments en calcium et vitamine D","Moderate"





